BlockName,Category,Year,Month,Day,Crop,DistrictName,QueryType,Season,Sector,StateName,QueryText,KccAns,latitude,longitude
KALIDINDI,Cereals,2013,11,14,"Paddy Dhan",KRISHNA,nan,nan,AGRICULTURE,"ANDHRA PRADESH","false smut","CARBENDAZIM BAVISTIN DEROSAL CARBENDAZIM 200 GRAMS PER ACRE   30933134312031493116314230743105310031353074 3116313431253135312831493103313531123149  31053143312031473128313431223149 30933134312031493116314230743105310031353074    308630933120313430933137 200 30953149312031343118313731223137 200 3122313631033120314931223137 311231363103313531223147 30933122313531143135 31143135309831343093313431203135 309831433119313431223135",16.2128,81.0307
MACHILIPATNAM,Cereals,2013,11,24,"Paddy Dhan",KRISHNA,nan,nan,AGRICULTURE,"ANDHRA PRADESH","false smut","COPPER OXY CHLORIDE BLITOX 600 GRAMS PER ACRE 30933134311431203149 3078309331493128313630933149312231473120314431053149 3116314931223144310331343093314931283149  308630933120313430933137 600 30953149312031343118313731223137 200 3122313631033120314931223137 311231363103313531223147 30933122313531143135 31143135309831343093313431203135 309831433119313431223135",16.2128,81.0307
BANTUMILLI,Cereals,2013,11,30,"Paddy Dhan",KRISHNA,nan,nan,AGRICULTURE,"ANDHRA PRADESH","false smut","tilt 1 mlL water",16.2128,81.0307
KALIDINDI,Cereals,2013,11,30,"Paddy Dhan",KRISHNA,nan,nan,AGRICULTURE,"ANDHRA PRADESH","false smut","COPPER OXY CHLORIDE BLITOX 600 GRAMS PER ACRE 30933134311431203149 3078309331493128313630933149312231473120314431053149 3116314931223144310331343093314931283149  308630933120313430933137 600 30953149312031343118313731223137 200 3122313631033120314931223137 311231363103313531223147 30933122313531143135 31143135309831343093313431203135 309831433119313431223135",16.2128,81.0307
GKONDURU,Cereals,2013,12,8,"Paddy Dhan",KRISHNA,"Plant Protection",nan,AGRICULTURE,"ANDHRA PRADESH","false smut","prophiconazol 1mlliter",16.2128,81.0307
ARDHAVEEDU,Cereals,2013,11,7,"Paddy Dhan",PRAKASAM,nan,nan,AGRICULTURE,"ANDHRA PRADESH","false smut","PROPICONAZOLE TILT RADAR  200 ML PER ACRE  3114314931203146311431353093314631123100314731223149 310331353122314931033149 312031343105313431203149   30863093312031343112313530933135 200 30873074 308631223149  200 3122313631033120314931223137 311231363103313531223147 30933122313531143135 31143135309831343093313431203135 309831433119313431223135",15.6643,79.4733
ARDHAVEEDU,Cereals,2013,11,14,"Paddy Dhan",PRAKASAM,nan,nan,AGRICULTURE,"ANDHRA PRADESH","false smut","CARBENDAZIM BAVISTIN DEROSAL CARBENDAZIM 200 GRAMS PER ACRE   30933134312031493116314230743105310031353074 3116313431253135312831493103313531123149  31053143312031473128313431223149 30933134312031493116314230743105310031353074    308630933120313430933137 200 30953149312031343118313731223137 200 3122313631033120314931223137 311231363103313531223147 30933122313531143135 31143135309831343093313431203135 309831433119313431223135",15.6643,79.4733
DORNALA,Cereals,2013,11,18,"Paddy Dhan",PRAKASAM,nan,nan,AGRICULTURE,"ANDHRA PRADESH","false smut","COPPER OXY CHLORIDE BLITOX 600 GRAMS PER ACRE 30933134311431203149 3078309331493128313630933149312231473120314431053149 3116314931223144310331343093314931283149  308630933120313430933137 600 30953149312031343118313731223137 200 3122313631033120314931223137 311231363103313531223147 30933122313531143135 31143135309831343093313431203135 309831433119313431223135",15.6643,79.4733
CHIRALA,Cereals,2013,11,20,"Paddy Dhan",PRAKASAM,nan,nan,AGRICULTURE,"ANDHRA PRADESH","false smut","blitox 600 grams for acre",15.6643,79.4733
SANTHAMAGULURU,Cereals,2013,11,27,"Paddy Dhan",PRAKASAM,nan,nan,AGRICULTURE,"ANDHRA PRADESH","false smut","CARBENDAZIM BAVISTIN DEROSAL CARBENDAZIM 200 GRAMS PER ACRE   30933134312031493116314230743105310031353074 3116313431253135312831493103313531123149  31053143312031473128313431223149 30933134312031493116314230743105310031353074    308630933120313430933137 200 30953149312031343118313731223137 200 3122313631033120314931223137 311231363103313531223147 30933122313531143135 31143135309831343093313431203135 309831433119313431223135",15.6643,79.4733
SANTHAMAGULURU,Cereals,2013,11,30,"Paddy Dhan",PRAKASAM,nan,nan,AGRICULTURE,"ANDHRA PRADESH","false smut","CARBENDAZIM BAVISTIN DEROSAL CARBENDAZIM 200 GRAMS PER ACRE   30933134312031493116314230743105310031353074 3116313431253135312831493103313531123149  31053143312031473128313431223149 30933134312031493116314230743105310031353074    308630933120313430933137 200 30953149312031343118313731223137 200 3122313631033120314931223137 311231363103313531223147 30933122313531143135 31143135309831343093313431203135 309831433119313431223135",15.6643,79.4733
"KOTHA PATNAM",Cereals,2013,12,3,"Paddy Dhan",PRAKASAM,"Plant Protection",nan,AGRICULTURE,"ANDHRA PRADESH","false smut","carbendizam 1gliter",15.6643,79.4733
SANTHAMAGULURU,Cereals,2013,12,4,"Paddy Dhan",PRAKASAM,nan,nan,AGRICULTURE,"ANDHRA PRADESH","false smut","spray bavistin",15.6643,79.4733
KONAKANAMITTLA,Cereals,2013,12,4,"Paddy Dhan",PRAKASAM,nan,nan,AGRICULTURE,"ANDHRA PRADESH","asking information about false smut","CARBENDAZIM BAVISTIN DEROSAL CARBENDAZIM 200 GRAMS PER ACRE   30933134312031493116314230743105310031353074 3116313431253135312831493103313531123149  31053143312031473128313431223149 30933134312031493116314230743105310031353074    308630933120313430933137 200 30953149312031343118313731223137 200 3122313631033120314931223137 311231363103313531223147 30933122313531143135 31143135309831343093313431203135 309831433119313431223135",15.6643,79.4733
